XLSX,XLSM,PDF,DWG,SCANNED,DRAWING NAME,Rev,DIA,DIA_1,FACE,FACE_1,BEARINGMAX,BEARINGMIN,STEPS,OEM,TYPE,CUST,OriginatingCustomer,customerPn,customerRevision,NEWBASEPRICE,Date,SUBCONTRACTOR,PRODUCTCODE,PREVPARTNo,DATECREATED,PartNo
#N/A,,,,,M90100,B,4.1445,4.144,25.787,25.78,MANDREL,MANDREL,2,PRINTING USA,"25""",,RCMP,,*,,36622,,M,,40283,M90100
#N/A,,,,,M90101,A,5.143,5.143,35.063,35.06,MANDREL,MANDREL,2,PRINTING USA,"35""",,SOSSINI,,*,,36622,,M,MANDREL2,36622,M90101
#N/A,,,,,M90102,A,4.1445,4.144,34.25,34.25,MANDREL,MANDREL,2,PRINTING USA,VENTURA,,YO YO COMP,,*,,36622,,M,MANDREL3,36622,M90102
#N/A,,,,,M90103,*,2.750  3.000,2.75,39.031,39.03,MANDREL,MANDREL,2,PRINTING USA,"RCMP VISION II 37"" WEB",,RCMP,,*,,36622,,M,MANDREL4,36622,M90103
#N/A,,,,,M90104,A,2.750  3.000,2.75,41.906,41.9,MANDREL,MANDREL,2,PRINTING USA,"RCMP VISION II 37"" WEB",,RCMP,,*,,36622,,M,MANDREL6,36622,M90104
#N/A,,,,,M90105,*,2.750  3.000,2.75,37.906,37.9,MANDREL,MANDREL,2,PRINTING USA,"RCMP VISION II 41"" WEB",,RCMP,,*,,36622,,M,MANDREL5,36622,M90105
#N/A,,,,,M90106,*,2.751  3.001,2.751,41.906,41.9,MANDREL,MANDREL,2,PRINTING USA,"RCMP VISION II 41"" WEB - THREADED",,RCMP,,*,,36622,,M,MANDREL7-THD,36622,M90106
#N/A,,,,,M90107,*,5.143,5.143,34.938,34.93,MANDREL,MANDREL,2,PRINTING USA,"SOSSINI 35""",,SOSSINI,,*,,36622,,M,MANDREL8,36622,M90107
#N/A,,,,,M90108,A,4.516,4.516,38.969,38.96,MANDREL,MANDREL,2,PRINTING USA,"COMEXI 39""",,COMEXI,,*,,36622,,M,MANDREL9,36622,M90108
#N/A,,,,,M90109,*,4.517,4.517,34.646,34.64,MANDREL,MANDREL,2,PRINTING USA,"SOUTHERN PRINT COMPANY 34""",,SOUTHERN PRINT COMPANY,,*,,36622,,M,MANDREL10,36622,M90109
#N/A,,,,,M90110,A,4.768,4.768,48.819,48.81,MANDREL,MANDREL,2,PRINTING USA,"TEXMEX PRINTING 48""",,TEXMEX PRINTING,,*,,36622,,M,MANDREL11,36622,M90110
#N/A,,,,,M90111,*,4.141,4.141,42.363,42.36,MANDREL,MANDREL,2,PRINTING USA,"YO YO COMP 42""",,YO YO COMP,,*,,36622,,M,MANDREL12,36622,M90111
#N/A,,,,,M90112,*,5.019,5.019,50.787,50.78,MANDREL,MANDREL,2,PRINTING USA,"COMEXI 50""",,COMEXI,,*,,36622,,M,MANDREL13,36622,M90112
#N/A,,,,,M90113,*,3.188,3.188,6.562,6.562,COLLAR,COLLAR,0,PRINTING USA,RCMP VISION I MANDREL COLLAR,,RCMP,,*,,36622,,M,COLLAR-V1L,36622,M90113
#N/A,,,,,M90114,A,3.188,3.188,4.438,4.438,COLLAR,COLLAR,0,PRINTING USA,RCMP VISION I MANDREL COLLAR,,RCMP,,*,,36622,,M,COLLAR-V1S,36622,M90114
#N/A,,,,,M90115,*,3.965,3.965,2.5,2.5,COLLAR,COLLAR,0,PRINTING USA,RCMP VISION II MANDREL COLLAR,,RCMP,,*,,36622,,M,COLLAR-V2,36622,M90115
#N/A,,,,,M90116,*,3.965,3.965,2.5,2.5,COLLAR,COLLAR,0,PRINTING USA,RCMP VISION II MANDREL COLLAR,,RCMP,,*,,36622,,M,COLLAR-V2THD,36622,M90116
