XLSX,XLSM,PDF,DWG,SCANNED,DRAWING NAME,Rev,DIA,DIA_1,FACE,FACE_1,BEARINGMAX,BEARINGMIN,STEPS,OEM,TYPE,CUST,OriginatingCustomer,CUSTPN,CUSTREV,NEWBASEPRICE,Date,SUBCONTRACTOR,PRODUCTCODE,PREVPARTNo,DATECREATED,PartNo
#N/A,#N/A,#N/A,M90100.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90100.dwg#,#N/A,M90100,B,4.1445,4.144,25.787,25.78,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"25""",,PCMC,,*,,6-Apr-00,,M,,15-Apr-10,M90100
#N/A,#N/A,#N/A,M90101.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90101.dwg#,#N/A,M90101,A,5.143,5.143,35.063,35.06,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"35""",,ROSSINI,,*,$0.00 ,6-Apr-00,,M,MANDREL2,6-Apr-00,M90101
#N/A,#N/A,#N/A,M90102.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90102.dwg#,#N/A,M90102,A,4.1445,4.144,34.25,34.25,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,VENTURA,,W & H,,*,$0.00 ,6-Apr-00,,M,MANDREL3,6-Apr-00,M90102
#N/A,#N/A,#N/A,M90103.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90103.dwg#,#N/A,M90103,*,2.750 / 3.000,2.75,39.031,39.03,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 37"" WEB",,PCMC,0620026-103-0-0,*,$0.00 ,6-Apr-00,,M,MANDREL4,6-Apr-00,M90103
#N/A,#N/A,#N/A,M90104.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90104.dwg#,#N/A,M90104,A,2.750 / 3.000,2.75,41.906,41.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 37"" WEB",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL6,6-Apr-00,M90104
#N/A,#N/A,#N/A,M90105.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90105.dwg#,#N/A,M90105,*,2.750 / 3.000,2.75,37.906,37.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 41"" WEB",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL5,6-Apr-00,M90105
#N/A,#N/A,#N/A,M90106.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90106.dwg#,#N/A,M90106,*,2.751 / 3.001,2.751,41.906,41.9,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"PCMC VISION II 41"" WEB - THREADED",,PCMC,,*,$0.00 ,6-Apr-00,,M,MANDREL7-THD,6-Apr-00,M90106
#N/A,#N/A,#N/A,M90107.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90107.dwg#,#N/A,M90107,*,5.143,5.143,34.938,34.93,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"ROSSINI 35""",,ROSSINI,,*,$0.00 ,6-Apr-00,,M,MANDREL8,6-Apr-00,M90107
#N/A,#N/A,#N/A,M90108.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90108.dwg#,#N/A,M90108,A,4.516,4.516,38.969,38.96,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"COMEXI 39""",,COMEXI,,*,$0.00 ,6-Apr-00,,M,MANDREL9,6-Apr-00,M90108
#N/A,#N/A,#N/A,M90109.DWG#\\NCFS01\DEPARTMENTS\ENGINEERING\MANDRELS\M90109.dwg#,#N/A,M90109,*,4.517,4.517,34.646,34.64,MANDREL,MANDREL,2,HARPER CORPORATION OF AMERICA,"UTECO 34""",,UTECO,,*,$0.00 ,6-Apr-00,,M,MANDREL10,6-Apr-00,M90109
